ds,y,holiday_flg,year,month,quarter,w_monday,w_tuesday,w_wednesday,w_thursday,w_friday,w_saturday,w_sunday,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016/2/27,26,0,2016,2,27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8.9,14.8,5.3,1.5,2.2,7.26,2.7,8.1,1024.2,70,1026.1,7.3
2016/2/28,25,0,2016,2,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,18.3,7.4,2.5,9.9,18.02,2.9,9.6,1020.3,67,1022.2,2.5
2016/2/29,32,0,2016,2,29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.4,14.5,2.6,2,3.3,10.85,5.7,5.6,1020.6,56,1022.4,8.3
2016/3/1,29,0,2016,3,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,7.2,2.4,0,4.8,13.32,3.2,4.3,1025.1,52,1027,7.3
2016/3/2,30,0,2016,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7.2,13.1,2,0,9.6,19.81,2.4,6,1025.2,60,1027.1,2
2016/3/3,48,0,2016,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,11.1,18.7,4.9,0,10.5,19.66,2.3,8.4,1024.2,64,1026.1,1
2016/3/4,32,0,2016,3,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.4,21.1,11.4,0,4.1,11.8,2.3,12,1024.5,69,1026.3,9.3
2016/3/5,38,0,2016,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.8,23.6,11.2,0,10.1,18.45,3.8,11.5,1021.8,59,1023.6,0.8
2016/3/6,28,0,2016,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,17.2,21.8,14.1,1,1.9,6.58,2.7,14.3,1016.6,74,1018.4,10
2016/3/7,18,0,2016,3,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.7,17.6,13.3,0,0.2,6.85,2.1,15.3,1015.4,91,1017.2,8
2016/3/8,32,0,2016,3,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13.9,19.1,11.6,0,3.3,9.85,2.9,12.1,1016.3,76,1018.1,5.5
2016/3/9,24,0,2016,3,9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10.3,12.5,8.9,39,0,1.86,5,10.7,1013.9,86,1015.7,10
2016/3/10,25,0,2016,3,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9.7,12.1,6.9,0.5,0.3,4.56,3.9,8.7,1017.9,72,1019.7,10
2016/3/11,31,0,2016,3,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.7,9.2,4.9,5.5,0.6,5.87,3.2,7.1,1019.9,72,1021.8,10
2016/3/12,3,0,2016,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5.9,9.8,2.7,0,1,7.5,2,7.1,1022.2,77,1024.1,9.3
2016/3/14,31,0,2016,3,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.8,12.9,6.1,4.5,1.6,9.54,3.9,8.3,1016.2,74,1018,8
2016/3/15,28,0,2016,3,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9.9,14.4,7.5,0,8.7,21.2,3.2,6.7,1020.8,55,1022.7,7.5
2016/3/16,52,0,2016,3,16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11.2,18,6.8,0,6.9,15.52,1.9,8.7,1020.4,66,1022.3,7.5
2016/3/17,26,0,2016,3,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13.6,20.6,7,0,10.3,22.28,2.1,9.3,1019.2,62,1021.1,3.8
2016/3/18,30,0,2016,3,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.6,18,13,5,0.4,5.07,3.3,14.2,1010.4,80,1012.2,10
2016/3/19,31,0,2016,3,19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14.3,17.4,10.6,2.5,3.7,10.2,3.5,14.1,1010.6,86,1012.4,5.8
2016/3/20,13,1,2016,3,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11.6,16.2,8.9,0,10.8,22.42,4.5,8.4,1018,61,1019.8,0
2016/3/21,38,1,2016,3,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.3,15.1,6.9,0,8.9,22.64,3.6,7.2,1020.8,58,1022.6,2.5
2016/3/22,33,0,2016,3,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11.4,18.3,3.9,0,11.3,23.65,2.1,8.6,1017.4,63,1019.2,2
2016/3/23,35,0,2016,3,23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12.5,17.6,8.6,0,5.1,16.05,3.3,10.5,1014.9,73,1016.7,7.3
2016/3/24,19,0,2016,3,24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10.5,14,8.3,0,4.8,14.24,5.2,7.4,1018.5,58,1020.3,8.8
2016/3/25,49,0,2016,3,25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9.3,13.8,5.9,0,10.3,19.74,3.8,5.9,1021.6,51,1023.4,3.5
2016/3/26,25,0,2016,3,26,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10.1,16.4,4.6,0,9.1,22.5,2.7,6.3,1019,53,1020.8,6.5
2016/3/27,47,0,2016,3,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10.1,14.2,7.1,0,6.4,17.64,2.9,6.6,1018.1,54,1019.9,3.8
2016/3/28,33,0,2016,3,28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11.4,17.8,5.9,0.027777777777777776,10.9,21.96,2.6,6.5,1020.8,50,1022.6,0
2016/3/29,50,0,2016,3,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13.8,18.3,8.4,0,3.2,13.09,3,8.1,1022,52,1023.8,7.5
2016/3/30,25,0,2016,3,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16.3,20.3,13.3,0,0.7,8.16,2.5,13.1,1018.8,71,1020.6,10
2016/3/31,47,0,2016,3,31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,18.5,13,8.5,0.9,7.99,1.9,13.6,1015,81,1016.8,9.8
2016/4/1,37,0,2016,4,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14.6,16.9,13.1,0.5,0.2,5.88,2.7,15.3,1011.8,92,1013.6,10
2016/4/2,30,0,2016,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.3,21.8,14.3,0.05263157894736842,8.4,19.49,1.9,15.4,1017.5,79,1019.3,10
2016/4/3,24,0,2016,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18.2,23.7,16.1,4.5,1,9.1,2,16.5,1014.8,80,1016.6,10
2016/4/4,28,0,2016,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,16.5,13.6,15.5,0,5.49,3.9,15.5,1009.3,90,1011.1,10
2016/4/5,47,0,2016,4,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15.1,19.9,11.6,0,8.5,21.1,2.3,12.5,1014.5,74,1016.3,7.5
2016/4/6,41,0,2016,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15.9,20.6,11.1,2.5,4.9,15.29,2,12.8,1014.8,71,1016.6,10
2016/4/7,32,0,2016,4,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18.5,24.1,14.1,37.5,0,1.67,3.7,19.5,1006.1,91,1007.8,10
2016/4/8,37,0,2016,4,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.7,20.4,13,0,5.4,15.75,1.7,15.4,1013.4,87,1015.2,9.3
2016/4/9,35,0,2016,4,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.2,23.3,12.9,0,7.7,19.46,1.8,12.8,1013,67,1014.7,9.5
2016/4/10,40,0,2016,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16.8,22.4,14,0,4.6,16.16,2.5,13.8,1010.8,73,1012.6,10
2016/4/11,44,0,2016,4,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.2,17.9,10.6,0,8.1,21.19,5.4,10.7,1016.6,66,1018.4,8.5
2016/4/12,33,0,2016,4,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15.6,22.1,9.2,0,7.6,20.55,2.4,9.9,1015.2,55,1017,8.3
2016/4/13,26,0,2016,4,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,17,20.5,14.9,22,1.8,5.22,3.6,13.9,1006.5,72,1008.3,10
2016/4/14,32,0,2016,4,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.5,21.5,15.6,0,7.4,20.15,2.3,17.3,1008.1,87,1009.9,5.8
2016/4/15,56,0,2016,4,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16.8,21.6,13.6,0,11.4,25.81,3.1,13,1016.8,69,1018.6,3.8
2016/4/16,37,0,2016,4,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19,25.6,13.6,2,5.5,15.81,3.7,10.1,1011.6,50,1013.4,9.3
2016/4/17,29,0,2016,4,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,17.5,20.8,13.6,10,10.6,26.57,5.1,12.8,1007.4,64,1009.2,3.8
2016/4/18,29,0,2016,4,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.2,17.6,12.1,0,0.3,9.15,2.2,9.2,1014.9,54,1016.7,9.5
2016/4/19,33,0,2016,4,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15.3,21.6,10.6,0,10.6,25.58,2.8,10.1,1021.3,60,1023.1,1.5
2016/4/20,43,0,2016,4,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16.6,22.8,9.7,0,9.5,24.34,2,10.2,1019.2,55,1021,5.5
2016/4/21,23,0,2016,4,21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.8,21.3,14.5,58,0,2.61,3.1,18.1,1005.6,88,1007.4,10
2016/4/22,32,0,2016,4,22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18.7,22.7,16.4,0.05263157894736842,8.5,23.11,2.6,17.1,1008.7,80,1010.4,7.5
2016/4/23,32,0,2016,4,23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16.9,21.3,15.3,2.5,1.1,6.39,1.8,16.1,1010.6,84,1012.4,10
2016/4/24,20,0,2016,4,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16.8,20.7,14.1,0,3.3,13.38,2.2,15.7,1011.8,82,1013.6,10
2016/4/25,43,0,2016,4,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,23.6,12.7,0,2.4,13.32,1.6,14.8,1013.9,72,1015.7,10
2016/4/26,43,0,2016,4,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20.4,26.3,16.7,0.5,6.9,21.02,2.2,17.6,1012.4,75,1014.1,9
2016/4/27,20,0,2016,4,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,18.5,21,17.2,31.5,0.1,4.56,1.9,20,1002.6,94,1004.3,10
2016/4/28,48,0,2016,4,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,17.7,13.3,9,0,2.81,6.6,15.8,1002.8,92,1004.6,9.5
2016/4/29,55,1,2016,4,29,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.1,19.3,11.6,0,12,27.08,2.8,11.8,1011.5,70,1013.3,4
2016/4/30,26,0,2016,4,30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,18.2,24.5,11.5,0,12.4,27.3,2.4,11.7,1013.5,57,1015.3,0
2016/5/2,46,0,2016,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21.5,27.1,16.5,0,9,21.47,2.3,15.8,1014.5,63,1016.3,8
2016/5/3,16,1,2016,5,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18.6,21.8,15.7,32.5,0.8,3.92,5.2,14,1003.8,66,1005.5,8
2016/5/4,25,1,2016,5,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21.4,27,15.8,0,12.6,28.33,5.4,9,1008.6,38,1010.3,0
2016/5/5,21,1,2016,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21.7,27.1,17.9,0,8.5,21.8,2.4,10.7,1014.6,42,1016.4,7.5
2016/5/6,41,0,2016,5,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19.2,21.7,15.7,10,0,5.23,3.7,17.8,1008.1,80,1009.8,10
2016/5/7,13,0,2016,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19.8,23.1,16.7,0,7.4,18.52,2.5,19.1,1010.7,83,1012.4,7.8
2016/5/8,30,0,2016,5,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20.8,27.1,15.7,1.5,5,17.48,2,13.9,1013.9,60,1015.7,10
2016/5/9,27,0,2016,5,9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19,20.8,17.5,12,0,5.15,1.5,21.3,1008.1,97,1009.9,10
2016/5/10,23,0,2016,5,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19.4,24,15.6,22,0,4.12,2.7,21.7,1001.8,96,1003.6,10
2016/5/11,31,0,2016,5,11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15.5,19.1,12.7,6.5,3.7,10.17,4,15.4,1007.6,88,1009.4,7.3
2016/5/12,35,0,2016,5,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18.1,24.2,10.8,0,13.3,29.95,2.2,12.9,1013.1,63,1014.9,0
2016/5/13,62,0,2016,5,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,24.4,16.9,0,9.9,23,2.7,16.6,1017.7,72,1019.5,7.5
2016/5/14,23,0,2016,5,14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19.7,24.2,16.2,0,11.9,27.23,2.6,17.4,1019.6,76,1021.4,6.5
2016/5/15,11,0,2016,5,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,24.2,30.3,18.8,0,4.7,17,3.3,21.3,1012.4,72,1014.2,9.3
2016/5/16,30,0,2016,5,16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,25,12,59.5,0.3,2.63,3.7,17.2,1008.7,87,1010.5,10
2016/5/17,47,0,2016,5,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,17.8,24.8,10.4,0,13.3,30.95,2.3,12,1013.9,62,1015.7,2
2016/5/18,43,0,2016,5,18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,19.3,25.1,12.4,0,12.7,28.71,2.2,14.1,1015.4,63,1017.1,6.8
2016/5/19,30,0,2016,5,19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22,26.9,15.8,0,10.2,23.16,2.2,14.4,1015.6,55,1017.3,9.8
2016/5/20,42,0,2016,5,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,23.9,30,17.7,0,12.6,28.33,2.3,14.1,1014.4,48,1016.1,5.8
2016/5/21,41,0,2016,5,21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21.8,26.3,18.8,0,9.9,23.87,2.5,18.2,1014.8,70,1016.6,10
2016/5/22,31,0,2016,5,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,21.3,26.3,17,0,12.2,26.52,2.2,18.8,1013.9,75,1015.6,8
2016/5/23,40,0,2016,5,23,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.8,29.1,18.5,0,12.9,28.47,2.4,16.2,1012.1,57,1013.8,5
2016/5/24,30,0,2016,5,24,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24.2,29.6,20.5,15,2,13.96,3.4,18.1,1007.2,61,1008.9,8.3
2016/5/25,40,0,2016,5,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22.1,27.7,19.6,1.5,3.8,15.53,2.1,23.2,1008,88,1009.7,6.5
2016/5/26,50,0,2016,5,26,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23.6,27.4,21.1,0,6.8,20.96,2.5,18.8,1008,66,1009.7,9.3
2016/5/27,46,0,2016,5,27,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,23.2,26.4,20.9,0,5.1,19.73,2.5,18.7,1009.1,66,1010.8,9.3
2016/5/28,28,0,2016,5,28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20.2,22.9,16.1,8,0,8.57,1.6,20.1,1006.3,85,1008,10
2016/5/29,23,0,2016,5,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20.4,21,19.6,23,0,3.59,1.6,22.8,1002.5,95,1004.2,10
2016/5/30,43,0,2016,5,30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22.1,26.5,17.9,0,13.1,29.64,2.4,20.2,1004.2,77,1005.9,2.5
2016/5/31,35,0,2016,5,31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23.8,30.6,16.5,0,11.4,26.14,2.2,15.7,1005.6,55,1007.3,6.8
